Date,day_of_week,is_weekend,festival,aqi,temperature_c,accident_count,patient_count,bed_count,advisory,most_required_med_category,staff_required_total,staff_required_details,Antibiotic,Analgesic,Antipyretic,Respiratory,Cardiovascular,Diabetes,Gastrointestinal,Anti-allergic,ORS,PPE
2022-01-18,1,0,None,236,24,26,212,228,Air Quality Alert: masks recommended; increase respiratory stock,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",48,83,21,29,6,10,13,3,13,183
2022-01-19,2,0,None,205,24,24,183,228,Air Quality Alert: masks recommended; increase respiratory stock,PPE,42,"{""nurses"":23,""doctors"":10,""support"":9}",54,56,22,33,5,6,3,6,5,187
2022-01-20,3,0,None,331,23,20,264,235,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,58,"{""nurses"":33,""doctors"":14,""support"":11}",55,47,38,36,1,8,13,5,12,225
2022-01-21,4,0,None,186,23,17,202,225,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",47,53,27,25,9,7,18,3,17,176
2022-01-22,5,1,None,164,24,21,266,259,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,59,"{""nurses"":34,""doctors"":14,""support"":11}",46,66,30,32,11,12,14,4,14,186
2022-01-23,6,1,None,123,22,24,180,233,Normal,PPE,41,"{""nurses"":23,""doctors"":9,""support"":9}",50,64,13,18,6,8,8,4,13,160
2022-01-24,0,0,None,142,19,27,234,236,Normal,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",63,72,28,22,8,11,13,7,11,193
2022-01-25,1,0,None,130,20,16,170,215,Normal,PPE,40,"{""nurses"":22,""doctors"":9,""support"":9}",38,64,14,13,5,9,9,1,11,159
2022-01-26,2,0,RepublicDay,200,21,19,185,209,Normal,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",50,60,23,21,2,6,16,4,9,141
2022-01-27,3,0,None,156,22,29,212,209,Normal,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",42,59,19,20,5,6,14,5,7,199
2022-01-28,4,0,None,312,24,32,212,219,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",50,74,21,26,9,9,12,5,12,198
2022-01-29,5,1,None,60,23,19,176,205,Normal,PPE,40,"{""nurses"":22,""doctors"":9,""support"":9}",28,50,14,18,4,5,12,2,9,166
2022-01-30,6,1,None,184,22,12,203,204,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",42,44,28,26,4,6,17,2,11,153
2022-01-31,0,0,None,166,23,14,236,216,Normal,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",45,59,31,27,9,11,13,1,16,190
2022-02-01,1,0,None,259,22,16,185,228,Air Quality Alert: masks recommended; increase respiratory stock,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",37,47,21,26,5,6,7,7,7,156
2022-02-02,2,0,None,278,22,22,211,232,Air Quality Alert: masks recommended; increase respiratory stock,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",54,64,26,25,7,6,16,8,11,199
2022-02-03,3,0,None,110,22,22,205,220,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",48,69,25,24,7,7,16,4,12,184
2022-02-04,4,0,None,71,22,22,219,226,Normal,PPE,49,"{""nurses"":28,""doctors"":11,""support"":10}",45,54,24,19,10,13,14,1,9,177
2022-02-05,5,1,None,115,22,31,266,238,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,59,"{""nurses"":34,""doctors"":14,""support"":11}",67,67,33,21,11,8,14,7,14,232
2022-02-06,6,1,None,125,22,30,226,254,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",64,74,33,30,11,6,10,4,17,177
2022-02-07,0,0,None,236,22,25,228,247,Air Quality Alert: masks recommended; increase respiratory stock,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",51,65,21,34,6,10,13,6,10,208
2022-02-08,1,0,None,67,22,27,240,252,Normal,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",47,53,29,20,6,5,21,6,19,191
2022-02-09,2,0,None,93,22,26,177,230,Normal,PPE,41,"{""nurses"":23,""doctors"":9,""support"":9}",26,41,24,14,2,9,13,4,10,156
2022-02-10,3,0,None,132,24,21,204,215,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",45,63,24,24,5,3,14,4,14,206
2022-02-11,4,0,None,444,26,21,192,199,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",45,61,25,20,6,9,16,3,9,160
2022-02-12,5,1,None,96,25,25,184,208,Normal,PPE,42,"{""nurses"":23,""doctors"":10,""support"":9}",35,61,25,15,7,8,10,5,7,178
2022-02-13,6,1,None,261,24,24,195,199,Air Quality Alert: masks recommended; increase respiratory stock,PPE,44,"{""nurses"":25,""doctors"":10,""support"":9}",35,67,20,25,9,10,9,2,11,180
2022-02-14,0,0,None,237,24,13,274,226,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,60,"{""nurses"":35,""doctors"":14,""support"":11}",63,69,36,34,12,12,10,5,16,204
2022-02-15,1,0,None,117,23,27,177,234,Normal,PPE,41,"{""nurses"":23,""doctors"":9,""support"":9}",35,64,20,15,6,9,12,3,9,161
2022-02-16,2,0,None,180,22,21,212,237,Normal,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",38,64,24,29,9,8,19,6,11,165
2022-02-17,3,0,None,223,22,17,215,217,Air Quality Alert: masks recommended; increase respiratory stock,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",47,76,23,24,8,7,15,5,8,191
2022-02-18,4,0,None,105,23,27,196,215,Normal,PPE,44,"{""nurses"":25,""doctors"":10,""support"":9}",34,61,18,28,6,7,13,1,6,175
2022-02-19,5,1,None,213,24,19,194,208,Air Quality Alert: masks recommended; increase respiratory stock,PPE,44,"{""nurses"":25,""doctors"":10,""support"":9}",42,64,18,31,5,10,10,6,10,180
2022-02-20,6,1,None,148,25,17,173,199,Normal,PPE,40,"{""nurses"":22,""doctors"":9,""support"":9}",41,49,18,11,5,7,5,3,10,137
2022-02-21,0,0,None,192,24,21,219,209,Normal,PPE,49,"{""nurses"":28,""doctors"":11,""support"":10}",43,61,23,27,8,11,20,7,14,183
2022-02-22,1,0,None,184,24,26,164,199,Normal,PPE,39,"{""nurses"":21,""doctors"":9,""support"":9}",46,72,15,16,2,7,8,3,9,156
2022-02-23,2,0,None,255,24,18,270,225,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,59,"{""nurses"":34,""doctors"":14,""support"":11}",58,70,34,35,3,9,11,6,11,204
2022-02-24,3,0,None,216,25,20,220,230,Air Quality Alert: masks recommended; increase respiratory stock,PPE,49,"{""nurses"":28,""doctors"":11,""support"":10}",53,54,25,22,8,14,13,1,9,175
2022-02-25,4,0,None,219,26,23,184,237,Air Quality Alert: masks recommended; increase respiratory stock,PPE,42,"{""nurses"":23,""doctors"":10,""support"":9}",48,66,33,32,4,9,10,4,14,149
2022-02-26,5,1,None,157,25,20,206,219,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",45,58,27,31,9,9,14,3,7,180
2022-02-27,6,1,None,146,25,21,210,211,Normal,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",48,72,24,21,5,7,17,3,13,183
2022-02-28,0,0,None,228,26,7,163,200,Air Quality Alert: masks recommended; increase respiratory stock,PPE,39,"{""nurses"":21,""doctors"":9,""support"":9}",33,37,25,20,7,4,7,4,9,126
2022-03-01,1,0,None,106,26,14,219,214,Normal,PPE,49,"{""nurses"":28,""doctors"":11,""support"":10}",48,55,30,17,6,8,10,4,9,191
2022-03-02,2,0,None,94,27,22,272,230,Normal,PPE,59,"{""nurses"":34,""doctors"":14,""support"":11}",52,83,34,28,5,12,21,5,16,221
2022-03-03,3,0,None,132,28,20,221,245,Normal,PPE,50,"{""nurses"":28,""doctors"":12,""support"":10}",48,71,29,23,7,8,7,3,11,170
2022-03-04,4,0,None,30,28,24,204,248,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",36,59,21,16,2,8,9,5,13,162
2022-03-05,5,1,None,90,27,27,262,236,Normal,PPE,58,"{""nurses"":33,""doctors"":14,""support"":11}",53,73,31,18,6,10,15,7,8,220
2022-03-06,6,1,None,69,28,16,241,247,Normal,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",48,64,27,22,6,9,21,4,14,199
2022-03-07,0,0,None,218,28,22,225,265,Air Quality Alert: masks recommended; increase respiratory stock,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",57,57,17,30,6,5,20,3,12,207
2022-03-08,1,0,None,236,29,217,511,351,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,106,"{""nurses"":64,""doctors"":26,""support"":16}",198,251,56,61,14,24,32,12,29,539
2022-03-09,2,0,None,193,29,10,225,333,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",35,51,26,27,6,9,11,8,9,178
2022-03-10,3,0,None,152,28,20,242,346,Normal,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",56,65,25,26,7,11,13,5,10,186
2022-03-11,4,0,None,30,28,15,193,240,Normal,PPE,44,"{""nurses"":25,""doctors"":10,""support"":9}",50,58,25,17,4,3,15,5,11,176
2022-03-12,5,1,None,211,29,24,263,246,Air Quality Alert: masks recommended; increase respiratory stock,PPE,58,"{""nurses"":33,""doctors"":14,""support"":11}",49,63,32,33,10,10,13,1,18,226
2022-03-13,6,1,None,202,29,22,212,244,Air Quality Alert: masks recommended; increase respiratory stock,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",46,70,29,23,6,8,20,4,8,192
2022-03-14,0,0,None,80,29,12,211,239,Normal,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",45,53,25,21,10,12,12,4,7,200
2022-03-15,1,0,None,133,30,29,205,218,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",50,79,29,28,4,6,11,5,15,213
2022-03-16,2,0,None,209,30,19,226,221,Air Quality Alert: masks recommended; increase respiratory stock,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",59,63,38,29,8,7,14,7,7,193
2022-03-17,3,0,Holi,122,30,20,230,231,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",54,54,31,27,7,8,13,4,9,185
2022-03-18,4,0,Holi,144,29,27,228,238,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",57,73,25,25,7,13,14,5,10,191
2022-03-19,5,1,Holi,100,28,24,307,278,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,67,"{""nurses"":39,""doctors"":16,""support"":12}",64,77,34,35,14,10,21,9,21,229
2022-03-20,6,1,None,193,27,20,250,281,Normal,PPE,55,"{""nurses"":32,""doctors"":13,""support"":10}",60,78,30,28,8,14,12,3,10,208
2022-03-21,0,0,None,119,27,23,228,282,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",43,71,31,23,4,7,17,3,12,221
2022-03-22,1,0,None,195,30,18,203,234,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",44,73,21,23,6,1,14,2,10,164
2022-03-23,2,0,None,146,31,30,278,255,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,60,"{""nurses"":35,""doctors"":14,""support"":11}",63,77,41,28,11,11,22,6,11,260
2022-03-24,3,0,None,89,29,17,226,250,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",52,54,25,11,8,9,7,5,9,219
2022-03-25,4,0,None,187,28,24,286,274,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,62,"{""nurses"":36,""doctors"":15,""support"":11}",47,84,32,32,7,10,12,8,14,247
2022-03-26,5,1,None,129,28,21,262,281,Normal,PPE,58,"{""nurses"":33,""doctors"":14,""support"":11}",41,76,29,35,4,9,18,2,14,239
2022-03-27,6,1,None,88,28,16,229,280,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",46,68,20,21,5,10,19,7,10,190
2022-03-28,0,0,None,88,28,12,228,252,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",49,40,21,16,3,5,12,5,9,188
2022-03-29,1,0,None,106,28,18,245,244,Normal,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",65,68,30,21,6,9,19,6,11,202
2022-03-30,2,0,None,94,28,24,210,243,Normal,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",45,61,30,24,2,8,9,6,7,168
2022-03-31,3,0,None,172,27,13,182,224,Normal,PPE,42,"{""nurses"":23,""doctors"":10,""support"":9}",43,52,23,23,4,5,11,2,14,141
2022-04-01,4,0,None,129,27,11,258,231,Normal,PPE,57,"{""nurses"":33,""doctors"":13,""support"":11}",59,60,29,28,3,8,16,6,15,225
2022-04-02,5,1,None,146,27,26,247,251,Normal,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",53,85,33,26,11,7,17,7,13,214
2022-04-03,6,1,None,124,27,19,237,264,Normal,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",51,54,29,30,2,7,6,6,15,190
2022-04-04,0,0,None,141,28,12,239,251,Normal,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",37,62,20,13,6,6,22,1,11,218
2022-04-05,1,0,None,131,28,22,289,263,Normal,PPE,63,"{""nurses"":37,""doctors"":15,""support"":11}",64,62,43,22,2,11,26,2,11,231
2022-04-06,2,0,None,237,28,21,276,281,Air Quality Alert: masks recommended; increase respiratory stock,PPE,60,"{""nurses"":35,""doctors"":14,""support"":11}",59,82,29,32,10,14,26,8,14,223
2022-04-07,3,0,None,239,29,17,240,292,Air Quality Alert: masks recommended; increase respiratory stock,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",60,59,34,43,7,9,11,2,18,211
2022-04-08,4,0,None,30,29,21,231,259,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",63,66,30,30,5,4,13,6,9,199
2022-04-09,5,1,None,147,29,19,331,281,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,71,"{""nurses"":42,""doctors"":17,""support"":12}",57,91,40,48,11,16,23,8,14,263
2022-04-10,6,1,None,85,29,32,242,284,Normal,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",62,70,29,19,4,12,16,3,11,229
2022-04-11,0,0,None,63,29,28,275,302,Normal,PPE,60,"{""nurses"":35,""doctors"":14,""support"":11}",62,81,28,26,10,11,17,3,17,239
2022-04-12,1,0,None,188,29,21,223,266,Normal,PPE,50,"{""nurses"":28,""doctors"":12,""support"":10}",51,60,29,20,4,9,10,1,9,192
2022-04-13,2,0,None,124,30,19,295,276,Normal,PPE,63,"{""nurses"":37,""doctors"":15,""support"":11}",69,73,26,27,12,16,18,7,17,208
2022-04-14,3,0,None,130,29,25,281,279,Normal,PPE,62,"{""nurses"":36,""doctors"":15,""support"":11}",74,88,41,33,9,24,24,8,8,211
2022-04-15,4,0,None,76,28,30,278,298,Normal,PPE,60,"{""nurses"":35,""doctors"":14,""support"":11}",50,81,31,33,10,13,16,5,10,242
2022-04-16,5,1,None,165,28,24,210,268,Normal,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",48,62,17,18,6,12,16,6,9,174
2022-04-17,6,1,None,146,28,22,198,239,Normal,PPE,44,"{""nurses"":25,""doctors"":10,""support"":9}",45,65,24,22,7,13,9,3,11,173
2022-04-18,0,0,None,188,28,21,246,227,Normal,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",56,65,36,35,7,19,13,7,11,210
2022-04-19,1,0,None,117,28,14,255,243,Normal,PPE,56,"{""nurses"":32,""doctors"":13,""support"":11}",62,54,29,15,7,16,13,1,8,199
2022-04-20,2,0,None,162,29,23,228,254,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",55,45,24,25,6,13,19,5,10,198
2022-04-21,3,0,None,182,32,18,206,241,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",34,65,32,21,7,6,12,9,14,180
2022-04-22,4,0,None,116,31,20,279,246,Normal,PPE,60,"{""nurses"":35,""doctors"":14,""support"":11}",54,80,26,31,8,10,17,6,10,226
2022-04-23,5,1,None,211,31,22,221,244,Air Quality Alert: masks recommended; increase respiratory stock,PPE,50,"{""nurses"":28,""doctors"":12,""support"":10}",53,61,27,31,11,15,13,1,8,166
2022-04-24,6,1,None,149,30,22,201,256,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",37,49,26,19,6,11,8,2,11,171
2022-04-25,0,0,None,64,31,12,200,221,Normal,PPE,44,"{""nurses"":25,""doctors"":10,""support"":9}",31,50,19,16,7,10,8,6,11,174
2022-04-26,1,0,None,148,30,15,255,226,Normal,PPE,56,"{""nurses"":32,""doctors"":13,""support"":11}",55,70,34,26,10,7,13,7,9,223
2022-04-27,2,0,None,126,31,22,295,263,Normal,PPE,63,"{""nurses"":37,""doctors"":15,""support"":11}",70,91,29,29,7,9,21,8,14,225
2022-04-28,3,0,None,103,31,15,193,257,Normal,PPE,44,"{""nurses"":25,""doctors"":10,""support"":9}",40,51,16,16,9,10,14,4,7,170
2022-04-29,4,0,None,124,30,16,199,240,Normal,PPE,44,"{""nurses"":25,""doctors"":10,""support"":9}",41,54,33,13,6,6,9,6,6,191
2022-04-30,5,1,None,228,30,24,259,226,Air Quality Alert: masks recommended; increase respiratory stock,PPE,57,"{""nurses"":33,""doctors"":13,""support"":11}",43,75,27,34,8,7,15,2,15,211
2022-05-01,6,1,None,124,30,17,205,243,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",50,71,29,27,8,9,19,6,7,179
2022-05-02,0,0,None,116,30,22,144,219,Normal,PPE,34,"{""nurses"":18,""doctors"":8,""support"":8}",37,43,20,16,3,13,10,1,14,121
2022-05-03,1,0,None,212,30,20,194,192,Air Quality Alert: masks recommended; increase respiratory stock,PPE,44,"{""nurses"":25,""doctors"":10,""support"":9}",35,52,21,33,5,4,10,3,14,163
2022-05-04,2,0,None,123,30,20,235,210,Normal,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",50,78,35,22,7,11,13,6,10,190
2022-05-05,3,0,None,92,29,16,210,225,Normal,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",45,55,31,30,8,12,16,4,12,165
2022-05-06,4,0,None,214,29,24,260,254,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,57,"{""nurses"":33,""doctors"":13,""support"":11}",61,71,28,43,8,12,20,4,12,250
2022-05-07,5,1,None,133,29,23,250,252,Normal,PPE,55,"{""nurses"":32,""doctors"":13,""support"":10}",57,87,29,28,9,9,18,9,11,203
2022-05-08,6,1,None,78,30,19,212,257,Normal,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",43,53,33,18,3,8,18,6,13,161
2022-05-09,0,0,None,176,30,21,306,268,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,67,"{""nurses"":39,""doctors"":16,""support"":12}",55,73,28,28,11,13,16,4,11,252
2022-05-10,1,0,None,97,30,15,181,240,Normal,PPE,42,"{""nurses"":23,""doctors"":10,""support"":9}",48,45,20,27,3,8,10,5,13,160
2022-05-11,2,0,None,132,30,13,225,260,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",48,55,21,26,8,8,8,6,18,200
2022-05-12,3,0,None,101,30,15,245,234,Normal,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",41,52,35,24,10,7,20,4,8,190
2022-05-13,4,0,None,134,30,21,262,266,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,58,"{""nurses"":33,""doctors"":14,""support"":11}",42,81,33,25,9,17,15,4,18,212
2022-05-14,5,1,None,96,30,19,192,242,Normal,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",38,51,24,18,6,6,7,6,16,179
2022-05-15,6,1,None,48,30,15,208,235,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",41,52,21,21,5,11,14,6,7,174
2022-05-16,0,0,None,161,30,15,180,212,Normal,PPE,41,"{""nurses"":23,""doctors"":9,""support"":9}",38,50,29,18,4,2,14,6,11,149
2022-05-17,1,0,None,97,30,18,181,208,Normal,PPE,42,"{""nurses"":23,""doctors"":10,""support"":9}",45,57,17,15,8,4,8,3,9,161
2022-05-18,2,0,None,180,30,16,191,189,Normal,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",52,46,15,22,8,6,9,5,8,165
2022-05-19,3,0,None,156,30,20,297,234,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,64,"{""nurses"":38,""doctors"":15,""support"":11}",68,69,42,28,13,11,14,1,12,226
2022-05-20,4,0,None,158,30,14,245,253,Normal,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",61,58,33,30,5,9,17,1,9,194
2022-05-21,5,1,None,134,30,23,234,270,Normal,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",55,78,37,24,5,10,15,7,14,182
2022-05-22,6,1,None,146,30,17,242,263,Normal,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",46,79,22,25,10,7,9,2,17,185
2022-05-23,0,0,None,149,30,22,230,256,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",49,79,27,27,11,2,13,3,10,214
2022-05-24,1,0,None,173,30,18,196,242,Normal,PPE,44,"{""nurses"":25,""doctors"":10,""support"":9}",35,43,32,20,4,14,9,2,8,172
2022-05-25,2,0,None,30,30,19,226,234,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",49,54,19,35,5,14,15,2,10,188
2022-05-26,3,0,None,130,30,18,266,236,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,59,"{""nurses"":34,""doctors"":14,""support"":11}",62,63,32,32,11,14,13,7,21,229
2022-05-27,4,0,None,141,30,22,263,262,High Demand: activate surge plan; postpone elective procedures; open triage tents; public advisory: wear masks,PPE,58,"{""nurses"":33,""doctors"":14,""support"":11}",71,69,39,28,6,13,17,2,14,228
2022-05-28,5,1,None,146,31,24,212,264,Normal,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",43,56,27,18,10,7,16,7,10,172
2022-05-29,6,1,None,139,31,16,184,232,Normal,PPE,42,"{""nurses"":23,""doctors"":10,""support"":9}",33,50,24,25,5,2,10,3,3,152
2022-05-30,0,0,None,171,30,18,240,227,Normal,PPE,52,"{""nurses"":30,""doctors"":12,""support"":10}",53,55,30,25,4,9,16,6,15,192
2022-05-31,1,0,None,116,30,24,213,232,Normal,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",46,51,16,29,10,4,16,3,6,185
2022-06-01,2,0,None,112,30,23,201,226,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",35,49,10,23,11,5,18,7,7,164
2022-06-02,3,0,None,102,30,16,185,208,Normal,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",46,40,21,18,7,9,10,0,10,151
2022-06-03,4,0,None,36,30,19,192,199,Normal,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",36,59,25,17,4,9,11,2,8,158
2022-06-04,5,1,None,98,30,22,163,186,Normal,PPE,39,"{""nurses"":21,""doctors"":9,""support"":9}",43,62,26,17,6,9,7,6,7,140
2022-06-05,6,1,None,93,30,25,185,192,Normal,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",49,56,23,29,6,2,9,1,7,175
2022-06-06,0,0,None,146,30,19,226,198,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",42,48,29,27,6,7,10,3,13,202
2022-06-07,1,0,None,60,30,26,184,214,Normal,PPE,42,"{""nurses"":23,""doctors"":10,""support"":9}",49,51,16,22,6,3,7,2,6,159
2022-06-08,2,0,None,39,30,10,176,205,Normal,PPE,40,"{""nurses"":22,""doctors"":9,""support"":9}",30,36,24,23,6,9,11,3,6,165
2022-06-09,3,0,None,59,29,20,170,182,Normal,PPE,40,"{""nurses"":22,""doctors"":9,""support"":9}",48,43,22,16,3,11,12,1,12,124
2022-06-10,4,0,None,51,28,23,177,194,Normal,PPE,41,"{""nurses"":23,""doctors"":9,""support"":9}",50,66,20,16,5,7,13,6,6,158
